,date,x1,x2,high,low,close,width
193,2019-12-16,117387.751953125,117460.662109375,28337.490234375,28191.669921875,28235.890625,72.91015625
194,2019-12-17,117460.662109375,117514.697265625,28328.630859375,28220.560546875,28267.16015625,54.03515625
195,2019-12-18,117514.697265625,117556.6826171875,28323.25,28239.279296875,28239.279296875,41.9853515625
196,2019-12-19,117556.6826171875,117608.302734375,28381.48046875,28278.240234375,28376.9609375,51.6201171875
197,2019-12-20,117608.302734375,117689.8232421875,28608.640625,28445.599609375,28455.08984375,81.5205078125
198,2019-12-23,117689.8232421875,117735.1787109375,28582.490234375,28491.779296875,28551.529296875,45.35546875
199,2019-12-24,117735.1787109375,117771.9736328125,28576.80078125,28503.2109375,28515.44921875,36.794921875
200,2019-12-26,117771.9736328125,117816.4482421875,28624.099609375,28535.150390625,28621.390625,44.474609375
201,2019-12-27,117816.4482421875,117862.7880859375,28701.66015625,28608.98046875,28645.259765625,46.33984375
202,2019-12-30,117862.7880859375,117980.642578125,28664.689453125,28428.98046875,28462.140625,117.8544921875
203,2019-12-31,117980.642578125,118066.072265625,28547.349609375,28376.490234375,28538.439453125,85.4296875
204,2020-01-02,118066.072265625,118188.587890625,28872.80078125,28627.76953125,28868.80078125,122.515625
205,2020-01-03,118188.587890625,118296.5634765625,28716.310546875,28500.359375,28634.880859375,107.9755859375
206,2020-01-06,118296.5634765625,118441.2578125,28708.01953125,28418.630859375,28703.380859375,144.6943359375
207,2020-01-07,118441.2578125,118501.3681640625,28685.5,28565.279296875,28583.6796875,60.1103515625
208,2020-01-08,118501.3681640625,118673.203125,28866.1796875,28522.509765625,28745.08984375,171.8349609375
209,2020-01-09,118673.203125,118745.052734375,28988.009765625,28844.310546875,28956.900390625,71.849609375
210,2020-01-10,118745.052734375,118855.0380859375,29009.0703125,28789.099609375,28823.76953125,109.9853515625
211,2020-01-13,118855.0380859375,118900.2783203125,28909.91015625,28819.4296875,28907.05078125,45.240234375
212,2020-01-14,118900.2783203125,118991.2236328125,29054.16015625,28872.26953125,28939.669921875,90.9453125
213,2020-01-15,118991.2236328125,119106.34375,29127.58984375,28897.349609375,29030.220703125,115.1201171875
214,2020-01-16,119106.34375,119190.529296875,29300.3203125,29131.94921875,29297.640625,84.185546875
215,2020-01-17,119190.529296875,119232.3837890625,29373.619140625,29289.91015625,29348.099609375,41.8544921875
216,2020-01-21,119232.3837890625,119329.75390625,29341.2109375,29146.470703125,29196.0390625,97.3701171875
217,2020-01-22,119329.75390625,119403.7236328125,29320.19921875,29172.259765625,29186.26953125,73.9697265625
218,2020-01-23,119403.7236328125,119515.46875,29190.470703125,28966.98046875,29160.08984375,111.7451171875
219,2020-01-24,119515.46875,119738.2080078125,29288.7890625,28843.310546875,28989.73046875,222.7392578125
220,2020-01-27,119738.2080078125,119853.8671875,28671.7890625,28440.470703125,28535.80078125,115.6591796875
221,2020-01-28,119853.8671875,119977.607421875,28823.23046875,28575.75,28722.849609375,123.740234375
222,2020-01-29,119977.607421875,120085.6328125,28944.240234375,28728.189453125,28734.44921875,108.025390625
223,2020-01-30,120085.6328125,120280.6083984375,28879.7109375,28489.759765625,28859.439453125,194.9755859375
224,2020-01-31,120280.6083984375,120602.36328125,28813.0390625,28169.529296875,28256.029296875,321.7548828125
225,2020-02-03,120602.36328125,120757.7333984375,28630.390625,28319.650390625,28399.810546875,155.3701171875
226,2020-02-04,120757.7333984375,120861.8037109375,28904.880859375,28696.740234375,28807.630859375,104.0703125
227,2020-02-05,120861.8037109375,121015.82421875,29308.890625,29000.849609375,29290.849609375,154.0205078125
228,2020-02-06,121015.82421875,121096.384765625,29408.05078125,29246.9296875,29379.76953125,80.560546875
229,2020-02-07,121096.384765625,121211.3544921875,29286.919921875,29056.98046875,29102.509765625,114.9697265625
230,2020-02-10,121211.3544921875,121352.5595703125,29278.0703125,28995.66015625,29276.8203125,141.205078125
231,2020-02-11,121352.5595703125,121455.01953125,29415.390625,29210.470703125,29276.33984375,102.4599609375
232,2020-02-12,121455.01953125,121535.9296875,29568.5703125,29406.75,29551.419921875,80.91015625
233,2020-02-13,121535.9296875,121630.6650390625,29535.400390625,29345.9296875,29423.310546875,94.7353515625
234,2020-02-14,121630.6650390625,121720.5947265625,29463.0390625,29283.1796875,29398.080078125,89.9296875
235,2020-02-18,121720.5947265625,121827.26953125,29330.16015625,29116.810546875,29232.189453125,106.6748046875
236,2020-02-19,121827.26953125,121894.6240234375,29409.08984375,29274.380859375,29348.029296875,67.3544921875
237,2020-02-20,121894.6240234375,122099.0234375,29368.44921875,28959.650390625,29219.98046875,204.3994140625
