,Date,High,Low,Close
14686,04/03/1983,1146.28,1125.58,1140.96
14687,07/03/1983,1149.67,1128.19,1141.74
14688,08/03/1983,1143.0,1117.55,1119.78
14689,09/03/1983,1136.42,1112.04,1132.64
14690,10/03/1983,1145.22,1116.49,1120.94
14691,11/03/1983,1127.61,1107.97,1117.74
14692,14/03/1983,1124.61,1105.07,1114.45
14693,15/03/1983,1126.84,1109.62,1124.52
14694,16/03/1983,1134.77,1111.46,1116.0
14695,17/03/1983,1123.55,1108.07,1116.97
14696,18/03/1983,1128.0,1109.71,1117.74
14697,21/03/1983,1130.32,1109.33,1125.29
14698,22/03/1983,1135.74,1118.61,1122.97
14699,23/03/1983,1147.83,1121.81,1140.87
14700,24/03/1983,1154.41,1134.48,1145.9
14701,25/03/1983,1153.83,1132.64,1140.09
14702,28/03/1983,1145.8,1126.84,1133.32
14703,29/03/1983,1142.8,1125.39,1131.19
14704,30/03/1983,1146.67,1129.64,1143.29
14705,31/03/1983,1158.48,1125.29,1130.03
14706,04/04/1983,1130.03,1115.13,1127.61
14707,05/04/1983,1137.58,1116.39,1120.16
14708,06/04/1983,1122.48,1102.17,1113.49
14709,07/04/1983,1123.36,1106.71,1117.65
14710,08/04/1983,1128.87,1109.52,1124.71
14711,11/04/1983,1144.54,1127.23,1141.83
14712,12/04/1983,1151.8,1134.09,1145.32
14713,13/04/1983,1165.34,1142.22,1156.64
14714,14/04/1983,1171.05,1146.67,1165.25
14715,15/04/1983,1176.95,1159.06,1171.34
14716,18/04/1983,1187.89,1164.57,1183.24
14717,19/04/1983,1187.98,1166.22,1174.54
14718,20/04/1983,1197.56,1170.47,1191.47
14719,21/04/1983,1202.11,1180.92,1188.27
14720,22/04/1983,1204.62,1184.21,1196.3
14721,25/04/1983,1206.75,1183.24,1187.21
14722,26/04/1983,1210.82,1177.92,1209.46
14723,27/04/1983,1225.04,1197.37,1208.4
14724,28/04/1983,1226.97,1201.04,1219.52
14725,29/04/1983,1235.49,1208.59,1226.2
14726,02/05/1983,1225.43,1197.27,1204.33
14727,03/05/1983,1214.11,1188.37,1208.01
14728,04/05/1983,1227.94,1198.63,1212.65
14729,05/05/1983,1225.81,1202.4,1219.72
14730,06/05/1983,1244.49,1217.69,1232.59
14731,09/05/1983,1241.29,1219.04,1228.23
14732,10/05/1983,1240.03,1220.49,1229.68
14733,11/05/1983,1234.42,1210.72,1219.72
14734,12/05/1983,1226.59,1204.82,1214.4
14735,13/05/1983,1228.04,1209.17,1218.75
14736,16/05/1983,1209.95,1190.21,1202.98
14737,17/05/1983,1211.88,1193.3,1205.79
14738,18/05/1983,1225.04,1196.98,1203.56
14739,19/05/1983,1208.49,1186.15,1191.37
14740,20/05/1983,1197.27,1179.08,1190.02
14741,23/05/1983,1205.4,1174.25,1200.56
14742,24/05/1983,1224.07,1199.21,1219.04
14743,25/05/1983,1234.04,1207.62,1229.01
